epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.7738,3.00476,4.45433,2.21352,0.03748,0.14873,0.0208,0.00796,2.86777,95.4331,1.8235,0.00041675,0.00041675,0.00041675
2,42.6948,2.37028,2.61098,1.87306,0.00903,0.07009,0.00498,0.00145,3.60032,inf,7.16336,0.000841753,0.000841753,0.000841753
3,50.2154,2.37927,2.30833,1.91025,0,0,0,0,nan,nan,nan,0.00125817,0.00125817,0.00125817
4,57.6497,2.39804,2.16437,1.93376,0,0,0,0,nan,nan,nan,0.00161749,0.00161749,0.00161749
5,65.1454,2.30093,2.05598,1.89885,0.13459,0.22372,0.08532,0.02368,nan,nan,nan,0.00160099,0.00160099,0.00160099
6,72.6636,2.30192,1.94094,1.81437,0.12621,0.02514,0.03167,0.01019,4.09097,4.99759,2.94748,0.00158448,0.00158448,0.00158448
7,80.1121,2.28343,1.89966,1.81593,0.10732,0.07982,0.04089,0.01249,3.44315,4.73204,2.56173,0.00156798,0.00156798,0.00156798
8,87.8389,2.22042,1.87752,1.71066,0.35692,0.24585,0.21264,0.06621,3.49076,3.53806,2.45893,0.00155148,0.00155148,0.00155148
9,95.5137,2.17291,1.72738,1.6973,0.44565,0.39166,0.37044,0.12886,2.28597,1.5056,1.51121,0.00153497,0.00153497,0.00153497
10,103.277,2.18557,1.75856,1.6988,0.43576,0.44708,0.31236,0.11117,2.34378,2.16894,1.43585,0.00151847,0.00151847,0.00151847
11,110.847,2.12264,1.76778,1.69788,0.53503,0.53409,0.49054,0.18641,2.08443,1.52254,1.41319,0.00150197,0.00150197,0.00150197
12,118.695,2.11987,1.71442,1.67192,0.55752,0.23198,0.12708,0.03934,3.39681,3.75004,2.05361,0.00148546,0.00148546,0.00148546
13,126.333,2.13143,1.70448,1.66644,0.48,0.31978,0.26882,0.0861,2.52827,2.08868,1.57684,0.00146896,0.00146896,0.00146896
14,134.19,2.0986,1.73377,1.64048,0.56174,0.54834,0.52271,0.17614,2.14364,1.3309,1.35302,0.00145246,0.00145246,0.00145246
15,141.923,2.06936,1.69,1.58252,0.54626,0.54417,0.50332,0.17862,2.07023,1.39171,1.32772,0.00143595,0.00143595,0.00143595
16,149.515,2.00231,1.61651,1.63559,0.60544,0.4852,0.46936,0.17076,2.13341,1.45108,1.34758,0.00141945,0.00141945,0.00141945
17,157.089,2.0441,1.59805,1.58972,0.58602,0.51716,0.51425,0.19551,2.04615,1.31954,1.27133,0.00140295,0.00140295,0.00140295
18,164.785,2.02285,1.59866,1.58536,0.54921,0.37667,0.35863,0.13669,2.4575,1.50906,1.44677,0.00138644,0.00138644,0.00138644
